"lake.name","Year","avg","stdev"
"West",1995,0.0333333333333333,0.00577350269189626
"West",1996,0.1,0.112694276695846
"West",1997,0.04,0.0424264068711929
"West",1998,0.03,0.0282842712474619
"West",1999,0.085,0.0494974746830583
"West",2000,0.065,0.0212132034355964
"West",2001,0.085,0.0212132034355964
"West",2002,0.035,0.00707106781186548
"West",2003,0.025,0.00707106781186547
"West",2004,0.105,0.0353553390593274
"West",2005,0.045,0.00707106781186548
"West",2006,0.145,0.148492424049175
"Willis",1994,0.173333333333333,0.222785397486759
"Willis",1995,0.0433333333333333,0.0152752523165195
"Willis",1996,0.07,0.0529150262212918
"Willis",1997,0.115,0.0212132034355964
"Willis",1998,0.065,0.00707106781186548
"Willis",1999,0.06,0.014142135623731
"Willis",2000,0.13,0.014142135623731
"Willis",2001,0.06,0.0424264068711929
"Willis",2002,0.01,0
"Willis",2003,0.12,NA
"Willis",2004,0.285,0.0777817459305202
"Willis",2005,0.215,0.0777817459305202
"Willis",2006,0.06,0.014142135623731
"Willys",1994,0.02,0.0173205080756888
"Willys",1995,0.00666666666666667,0.00577350269189626
"Willys",1996,0.0166666666666667,0.0152752523165195
"Willys",1997,0.01,NA
"Willys",1998,0.025,0.0212132034355964
"Willys",1999,0.08,0.0282842712474619
"Willys",2000,0.035,0.0212132034355964
"Willys",2001,0.01,0
"Willys",2002,0.025,0.0212132034355964
"Willys",2003,0.045,0.0212132034355964
"Willys",2004,0.015,0.00707106781186548
"Willys",2005,0.005,0.00707106781186548
"Willys",2006,0.01,0
"Windfall",1994,0.0533333333333333,0.0757187779440037
"Windfall",1995,0.0433333333333333,0.0416333199893227
"Windfall",1996,0.376666666666667,0.236713610367747
"Windfall",1997,0.13,0.0565685424949238
"Windfall",1998,0.03,0
"Windfall",1999,0.225,0.134350288425444
"Windfall",2000,0.105,0.0919238815542512
"Windfall",2001,0.11,0.0141421356237309
"Windfall",2002,0.145,0.176776695296637
"Windfall",2003,0.34,0.14142135623731
"Windfall",2004,0.2,0.14142135623731
"Windfall",2005,0.145,0.0636396103067893
"Windfall",2006,0.195,0.134350288425444
